时间(s),X坐标(m),Y坐标(m)
605.55,-27.56839928,-58.72287189
605.8,-24.36367349,-53.89506681
606.05,-27.97547267,-60.09555943
606.3,-24.9980636,-52.63625037
606.55,-26.9383345,-52.47540607
606.8,-20.33273658,-55.9717695
607.05,-17.85949815,-62.44125867
607.3,-26.16003451,-60.66685333
607.55,-28.99095248,-54.76436087
607.8,-23.30643546,-53.25219175
608.05,-23.83795505,-61.90315843
608.3,-30.08985518,-59.82104646
608.55,-24.82758272,-57.21846606
608.8,-24.15529796,-58.05860472
609.05,-15.55093288,-58.13771753
609.3,-26.46972983,-54.60448385
609.55,-16.58269298,-57.60665809
609.8,-17.12192629,-63.28437179
610.05,-7.653137359,-59.78613782
610.3,-20.37322499,-66.13859163
610.55,-15.88029733,-56.88996662
610.8,-16.04505444,-57.50856414
611.05,-6.861149585,-60.26815794
611.3,-17.59104495,-52.86321188
611.55,-8.80763543,-70.58648771
611.8,-5.816080422,-65.60946005
612.05,-9.330909904,-70.78866534
612.3,-0.375757224,-59.74350137
612.55,-7.182849305,-68.49070741
612.8,-0.747222873,-56.52789346
613.05,2.963039165,-70.31309921
613.3,-0.234030641,-62.71781776
613.55,-0.8611471,-61.34367811
613.8,3.650452164,-61.81415714
614.05,5.965948567,-66.13025166
614.3,5.651748601,-62.05483195
614.55,13.5175108,-69.37572149
614.8,8.829691034,-67.52967592
615.05,6.470574897,-62.21523249
615.3,13.85317226,-57.93776674
615.55,17.28354316,-52.29447853
615.8,15.18804758,-63.41950456
616.05,12.11181834,-62.8523851
616.3,13.94608738,-57.74920832
616.55,19.49004263,-60.31374429
616.8,17.93924122,-52.21139979
617.05,16.46686541,-51.77043789
617.3,13.90222768,-64.66658646
617.55,20.71098722,-61.03600936
617.8,26.16095037,-61.29432463
618.05,23.92923234,-62.64656491
618.3,35.66907586,-63.18436916
618.55,19.01653017,-62.81527758
618.8,27.71162705,-56.93052683
619.05,34.28135997,-61.93342427
619.3,34.64545896,-63.02896486
619.55,35.90559711,-55.29418676
619.8,32.18837939,-54.63988275
620.05,31.31879364,-55.82758284
620.3,36.40247834,-62.48760781
620.55,41.95638,-51.34300829
620.8,36.28136555,-48.50622646
621.05,38.82444666,-47.84260533
621.3,40.65811695,-41.51392708
621.55,41.28944214,-50.51136494
621.8,39.4799713,-45.73283895
622.05,38.51462353,-48.80322608
622.3,39.89549255,-51.90573101
622.55,48.83500418,-47.18743989
622.8,54.31533876,-44.93822762
623.05,42.39833859,-48.43281588
623.3,46.36635138,-39.77747623
623.55,43.96129672,-43.96503072
623.8,52.21745569,-37.95857129
624.05,51.45130683,-40.50604587
624.3,45.30045413,-35.70950596
624.55,50.84617838,-37.04311512
624.8,54.49625306,-33.37104952
625.05,49.37461876,-31.09910537
625.3,46.57869988,-26.7677391
625.55,52.80461954,-34.43372031
625.8,56.44748589,-33.83692066
626.05,55.69032633,-31.687312
626.3,59.89711898,-29.7942226
626.55,60.97394305,-29.97720945
626.8,57.53023545,-27.94980031
627.05,60.12324482,-24.67185078
627.3,69.20025106,-31.8952546
627.55,59.49806985,-18.24817796
627.8,62.93125681,-24.05710261
628.05,68.48890915,-27.46064167
628.3,62.93797395,-14.95553139
628.55,56.14026953,-19.92908225
628.8,60.00170086,-16.72764054
629.05,62.68465385,-26.12247656
629.3,57.51464349,-17.7110489
629.55,61.79017423,-18.40364124
629.8,61.92431163,-9.771715396
630.05,67.10099073,-8.969989906
630.3,66.27589209,-13.43285186
630.55,65.32984773,-9.585153489
630.8,61.59061026,3.074178551
631.05,67.85209323,-2.763802417
631.3,68.70420524,-10.08441752
631.55,67.24934175,-2.27505506
631.8,65.73944056,-7.050327137
632.05,57.23699543,1.997889784
632.3,56.85570638,0.199358567
632.55,70.01303299,2.089663883
632.8,60.34726269,5.010448193
633.05,63.22884298,-0.269978238
633.3,65.06682467,1.580332691
633.55,60.4607641,5.236215432
633.8,63.08990468,3.388517364
634.05,67.28117802,10.37438007
634.3,60.41027983,17.12539615
634.55,62.88960657,10.11817272
634.8,61.71813727,9.849541837
635.05,60.47293914,18.09134549
635.3,63.92259702,13.58976003
635.55,63.57056858,19.60664936
635.8,62.45336824,24.70106731
636.05,60.98641339,22.96895737
636.3,58.54276483,15.90461916
636.55,61.90622842,24.33696655
636.8,53.28974251,28.00354787
637.05,51.64286671,28.37071382
637.3,58.91516621,32.75020389
637.55,60.48675955,29.01528656
637.8,55.38712279,25.28396266
638.05,60.52156204,29.67554359
638.3,55.7394407,24.31510752
638.55,51.32311561,26.02424028
638.8,53.20722579,39.64113688
639.05,49.86149492,41.1406212
639.3,48.85580241,36.11971796
639.55,45.22949165,33.6791697
639.8,44.68860964,40.15882671
640.05,50.29659693,39.8092431
640.3,49.99263528,40.05534404
640.55,41.09464169,38.55513537
640.8,50.35608392,42.77948357
641.05,44.45187028,43.23588445
641.3,44.03138461,46.17658101
641.55,42.78843066,43.44720126
641.8,50.66004796,42.99807112
642.05,46.92746933,43.33881145
642.3,46.15676599,47.91342814
642.55,42.98444237,39.61569637
642.8,40.93626052,53.74739747
643.05,31.02910911,46.93365364
643.3,41.40057427,48.33157956
643.55,41.66424555,56.77201198
643.8,35.26997624,55.74252095
644.05,35.0632371,52.85418483
644.3,37.73837225,65.50466076
644.55,34.98089526,45.91833043
644.8,33.60021112,56.97058814
645.05,30.29431192,54.79339949
645.3,26.43316713,55.42557181
645.55,29.13122772,62.04742905
645.8,32.43747101,57.33893556
646.05,29.15496547,53.0370766
646.3,29.12250529,58.27199287
646.55,21.84515203,58.40715465
646.8,25.72359131,67.44726143
647.05,26.91313563,53.16257739
647.3,29.0153172,59.8424857
647.55,16.44547581,56.90245175
647.8,14.42215677,66.25835484
648.05,18.46340976,55.84738013
648.3,13.37947243,58.22096137
648.55,11.44524167,65.34195401
648.8,6.960220072,65.510094
649.05,8.38914119,60.20174228
649.3,14.79743432,67.75675314
649.55,2.185221804,58.42718225
649.8,5.43065303,68.20133878
650.05,9.078107059,64.58771853
650.3,3.566565698,55.76743242
650.55,5.990278156,58.06799682
650.8,16.69604364,67.42776358
651.05,5.429756825,67.36192269
651.3,13.674619,59.91105265
651.55,10.86149738,63.17431196
651.8,7.017800977,64.17996635
652.05,2.673662214,62.58583766
652.3,3.284140952,67.19259426
652.55,3.775102889,67.1214226
652.8,8.578617693,65.66408859
653.05,-0.224516843,65.58697931
653.3,9.502514119,72.81368474
653.55,8.478049802,58.42460698
653.8,11.07528945,60.34186105
654.05,5.955297165,62.29429346
654.3,6.580069192,68.80678196
654.55,1.849295259,62.44038768
654.8,-6.099312418,59.22275599
655.05,7.302811316,60.04877612
