时间(s),X坐标(m),Y坐标(m)
571.8358000003,-59.08419593,14.36759817
572.0358000003,-63.38073458,11.8448217
572.2358000003,-60.27954686,9.648373239
572.4358000003,-58.14350989,8.72457517
572.6358000003,-64.69531458,9.454118825
572.8358000003,-54.83096054,10.21986543
573.0358000003,-57.38155649,6.789115951
573.2358000003,-58.91485237,10.54892777
573.4358000003,-65.77011862,7.151999162
573.6358000003,-72.43510303,8.823018385
573.8358000003,-61.7353039,7.290398369
574.0358000003,-63.98743327,-0.887420218
574.2358000003,-61.40301958,5.704111396
574.4358000003,-63.35197474,7.169698334
574.6358000003,-60.25940022,1.920443559
574.8358000003,-65.9831432,3.030944994
575.0358000003,-64.76158159,2.872878368
575.2358000003,-62.90211789,5.905813106
575.4358000003,-61.31198605,2.990102549
575.6358000003,-57.27128371,-0.631501648
575.8358000003,-64.36198315,-1.056487214
576.0358000003,-58.84741771,1.215903428
576.2358000003,-60.61182056,0.340978904
576.4358000003,-67.47752294,-2.320363218
576.6358000003,-74.5325307,0.396852861
576.8358000003,-62.09241696,-2.296169165
577.0358000003,-65.00773778,-6.56516363
577.2358000003,-70.20533416,-0.790876863
577.4358000003,-62.29801685,-8.975922716
577.6358000003,-66.5969898,-5.316630693
577.8358000003,-62.04867696,-7.946615029
578.0358000003,-67.77689692,-8.594664835
578.2358000003,-68.48814339,-1.817952117
578.4358000003,-62.14709187,-7.185665734
578.6358000003,-66.88828978,-5.459175362
578.8358000003,-66.50228747,-1.793773248
579.0358000003,-63.77988011,-9.174347481
579.2358000003,-57.35904154,-9.640921043
579.4358000003,-64.44525128,-6.114654745
579.6358000003,-65.78678266,-11.03381234
579.8358000003,-64.88190003,-9.366193721
580.0358000003,-65.20831266,-6.50821308
580.2358000003,-65.57251351,-7.595107198
580.4358000003,-63.22872232,-8.420855979
580.6358000003,-65.49429205,-4.247160615
580.8358000003,-62.81781107,-11.82001432
581.0358000003,-70.90006613,-5.398504159
581.2358000003,-63.12406804,-7.153077274
581.4358000003,-64.18484754,-3.956907247
581.6358000003,-65.31375988,-7.30234763
581.8358000003,-63.50153251,-5.434615675
582.0358000003,-61.03674897,-12.94435808
582.2358000003,-65.6105664,-15.42680687
582.4358000003,-60.64684325,-7.304186316
582.6358000003,-59.325975,-11.77925057
582.8358000003,-63.92888723,-11.00374291
583.0358000003,-63.68481857,-16.8107914
583.2358000003,-64.41250969,-16.91575439
583.4358000003,-63.66752511,-14.46839589
583.6358000003,-66.18644842,-18.12655719
583.8358000003,-57.33444061,-18.38853024
584.0358000003,-67.43283426,-13.38376663
584.2358000003,-60.47211193,-18.53717777
584.4358000003,-60.10218811,-17.87410265
584.6358000003,-61.67866076,-14.22763351
584.8358000003,-66.15454791,-16.90001201
585.0358000003,-60.13292175,-23.8108718
585.2358000003,-63.54446284,-20.60411389
