date,wind_direction_10m_dominant,wind_speed_10m_mean,weather_code
2017-02-03 00:00:00+00:00,188.90056,21.241343,53.0
2017-02-04 00:00:00+00:00,182.46133,15.140679,61.0
2017-02-05 00:00:00+00:00,196.5349,10.838939,53.0
2017-02-06 00:00:00+00:00,315.07434,12.099899,3.0
2017-02-07 00:00:00+00:00,256.2469,12.408,61.0
2017-02-08 00:00:00+00:00,340.4286,10.816781,51.0
2017-02-09 00:00:00+00:00,34.503197,9.517825,51.0
2017-02-10 00:00:00+00:00,20.142506,9.563167,71.0
2017-02-11 00:00:00+00:00,319.66467,6.176886,73.0
2017-02-12 00:00:00+00:00,79.429665,11.423481,71.0
2017-02-13 00:00:00+00:00,95.530815,16.26432,3.0
2017-02-14 00:00:00+00:00,133.11183,12.816529,3.0
2017-02-15 00:00:00+00:00,184.52708,11.244834,53.0
2017-02-16 00:00:00+00:00,292.53104,4.488494,51.0
2017-02-17 00:00:00+00:00,301.5741,5.6485057,3.0
2017-02-18 00:00:00+00:00,118.7842,7.670514,3.0
2017-02-19 00:00:00+00:00,277.3373,6.936306,3.0
2017-02-20 00:00:00+00:00,243.37656,13.423641,3.0
2017-02-21 00:00:00+00:00,260.5211,17.181341,3.0
2017-02-22 00:00:00+00:00,242.1028,22.092455,3.0
2017-02-23 00:00:00+00:00,240.72258,26.482399,51.0
2017-02-24 00:00:00+00:00,294.42786,14.249052,51.0
2017-02-25 00:00:00+00:00,195.63411,12.219935,3.0
2017-02-26 00:00:00+00:00,209.22966,15.910453,53.0
2017-02-27 00:00:00+00:00,212.34218,28.177479,61.0
2017-02-28 00:00:00+00:00,231.76912,22.55554,55.0
2017-03-01 00:00:00+00:00,237.59035,22.891987,61.0
2017-03-02 00:00:00+00:00,244.61613,17.393229,3.0
2017-03-03 00:00:00+00:00,153.97298,14.807594,53.0
2017-03-04 00:00:00+00:00,207.2552,13.626115,61.0
2017-03-05 00:00:00+00:00,227.92502,23.70479,61.0
2017-03-06 00:00:00+00:00,263.99106,19.314163,63.0
2017-03-07 00:00:00+00:00,280.32254,13.935979,51.0
2017-03-08 00:00:00+00:00,228.16293,19.40324,53.0
2017-03-09 00:00:00+00:00,261.0924,15.571971,3.0
2017-03-10 00:00:00+00:00,113.34676,7.670897,3.0
2017-03-11 00:00:00+00:00,98.51977,8.171298,3.0
2017-03-12 00:00:00+00:00,323.0815,8.120114,3.0
2017-03-13 00:00:00+00:00,340.0718,12.418563,51.0
2017-03-14 00:00:00+00:00,295.1032,8.634537,3.0
2017-03-15 00:00:00+00:00,25.90101,6.687088,3.0
2017-03-16 00:00:00+00:00,139.35573,8.034758,0.0
2017-03-17 00:00:00+00:00,293.01144,13.504212,51.0
2017-03-18 00:00:00+00:00,262.55038,24.52835,53.0
2017-03-19 00:00:00+00:00,255.86316,16.678297,3.0
2017-03-20 00:00:00+00:00,224.52028,17.84211,3.0
2017-03-21 00:00:00+00:00,263.2615,12.952914,51.0
2017-03-22 00:00:00+00:00,158.78877,13.883995,53.0
2017-03-23 00:00:00+00:00,115.69441,10.941974,63.0
2017-03-24 00:00:00+00:00,39.14174,10.181844,53.0
2017-03-25 00:00:00+00:00,55.10971,20.215113,3.0
2017-03-26 00:00:00+00:00,67.97328,10.131321,3.0
2017-03-27 00:00:00+00:00,98.041695,9.039852,2.0
2017-03-28 00:00:00+00:00,227.83748,11.4950695,51.0
2017-03-29 00:00:00+00:00,196.16312,8.96147,3.0
2017-03-30 00:00:00+00:00,153.30115,11.648185,3.0
2017-03-31 00:00:00+00:00,202.64716,15.401657,51.0
2017-04-01 00:00:00+00:00,223.93259,8.904232,51.0
2017-04-02 00:00:00+00:00,336.33276,7.1476655,51.0
2017-04-03 00:00:00+00:00,359.3969,6.0620947,3.0
2017-04-04 00:00:00+00:00,346.11432,10.458387,3.0
2017-04-05 00:00:00+00:00,0.9017127,14.45118,3.0
2017-04-06 00:00:00+00:00,21.88296,12.076828,3.0
2017-04-07 00:00:00+00:00,15.146687,7.19732,0.0
2017-04-08 00:00:00+00:00,56.309925,7.0317764,0.0
2017-04-09 00:00:00+00:00,157.10942,7.568525,0.0
2017-04-10 00:00:00+00:00,325.97125,14.129672,3.0
2017-04-11 00:00:00+00:00,358.25107,7.0974717,3.0
2017-04-12 00:00:00+00:00,282.70782,12.106573,2.0
2017-04-13 00:00:00+00:00,293.9242,7.7596664,51.0
2017-04-14 00:00:00+00:00,329.31598,8.269499,51.0
2017-04-15 00:00:00+00:00,280.17184,12.613845,53.0
2017-04-16 00:00:00+00:00,293.4958,12.85328,51.0
2017-04-17 00:00:00+00:00,319.0738,14.730993,51.0
2017-04-18 00:00:00+00:00,7.8532195,11.190701,61.0
2017-04-19 00:00:00+00:00,32.40164,15.334145,2.0
2017-04-20 00:00:00+00:00,47.337337,7.587154,3.0
2017-04-21 00:00:00+00:00,351.96637,5.4238834,2.0
2017-04-22 00:00:00+00:00,352.91492,9.58183,51.0
2017-04-23 00:00:00+00:00,39.47646,9.9564,3.0
2017-04-24 00:00:00+00:00,331.59818,7.1551647,3.0
2017-04-25 00:00:00+00:00,348.80643,12.932601,51.0
2017-04-26 00:00:00+00:00,346.55603,11.759095,61.0
2017-04-27 00:00:00+00:00,334.8662,11.891381,51.0
2017-04-28 00:00:00+00:00,284.43997,7.425579,61.0
2017-04-29 00:00:00+00:00,122.412285,12.016805,3.0
2017-04-30 00:00:00+00:00,159.26302,18.848297,63.0
2017-05-01 00:00:00+00:00,214.46086,20.754147,53.0
2017-05-02 00:00:00+00:00,20.684153,8.565458,51.0
2017-05-03 00:00:00+00:00,350.60458,7.1890593,61.0
2017-05-04 00:00:00+00:00,3.3598294,8.5074625,61.0
2017-05-05 00:00:00+00:00,65.67952,13.25162,3.0
2017-05-06 00:00:00+00:00,298.8864,10.7696705,53.0
2017-05-07 00:00:00+00:00,316.29816,15.574715,55.0
2017-05-08 00:00:00+00:00,342.1148,12.899762,3.0
2017-05-09 00:00:00+00:00,37.205013,13.449144,2.0
2017-05-10 00:00:00+00:00,88.09391,10.368471,3.0
2017-05-11 00:00:00+00:00,175.24278,12.562604,53.0
2017-05-12 00:00:00+00:00,189.8913,12.046176,61.0
2017-05-13 00:00:00+00:00,225.65523,13.344811,51.0
2017-05-14 00:00:00+00:00,237.68427,11.778556,53.0
2017-05-15 00:00:00+00:00,176.23605,9.381267,3.0
2017-05-16 00:00:00+00:00,171.70934,8.878526,3.0
2017-05-17 00:00:00+00:00,190.07242,10.747935,53.0
2017-05-18 00:00:00+00:00,247.80733,13.461796,63.0
2017-05-19 00:00:00+00:00,250.20105,11.753559,63.0
2017-05-20 00:00:00+00:00,220.2185,8.8039255,51.0
2017-05-21 00:00:00+00:00,123.37784,8.491251,3.0
2017-05-22 00:00:00+00:00,133.53874,8.373487,3.0
2017-05-23 00:00:00+00:00,316.8671,12.642061,3.0
